threshold,precision,recall,f1
0.25,0.3646659116647792,0.9583333333333334,0.5283018867924528
0.26,0.3726635514018692,0.9494047619047619,0.535234899328859
0.27,0.3773809523809524,0.9434523809523809,0.5391156462585034
0.28,0.3854679802955665,0.9315476190476191,0.5452961672473867
0.29000000000000004,0.3974522292993631,0.9285714285714286,0.5566458519179304
0.30000000000000004,0.4028683181225554,0.9196428571428571,0.5602901178603807
0.31000000000000005,0.4077540106951872,0.9077380952380952,0.5627306273062731
0.32000000000000006,0.4136986301369863,0.8988095238095238,0.5666041275797373
0.33000000000000007,0.4287749287749288,0.8958333333333334,0.5799614643545279
0.3400000000000001,0.4418262150220913,0.8928571428571429,0.5911330049261084
0.3500000000000001,0.4481707317073171,0.875,0.592741935483871
0.3600000000000001,0.45768025078369906,0.8690476190476191,0.5995893223819302
0.3700000000000001,0.4721311475409836,0.8571428571428571,0.6088794926004228
0.3800000000000001,0.4770797962648557,0.8363095238095238,0.6075675675675676
0.3900000000000001,0.4876760563380282,0.8244047619047619,0.6128318584070797
0.40000000000000013,0.49264705882352944,0.7976190476190477,0.6090909090909091
0.41000000000000014,0.5038314176245211,0.7827380952380952,0.6130536130536131
0.42000000000000015,0.5160642570281124,0.7648809523809523,0.6163069544364509
0.43000000000000016,0.5196687370600414,0.7470238095238095,0.612942612942613
0.44000000000000017,0.5289079229122056,0.7351190476190477,0.6151930261519303
0.4500000000000002,0.5362637362637362,0.7261904761904762,0.6169405815423514
0.4600000000000002,0.5395033860045146,0.7113095238095238,0.613607188703466
0.4700000000000002,0.5539906103286385,0.7023809523809523,0.6194225721784777
0.4800000000000002,0.559322033898305,0.6875,0.616822429906542
0.4900000000000002,0.5750636132315522,0.6726190476190477,0.6200274348422496
0.5000000000000002,0.5864864864864865,0.6458333333333334,0.6147308781869688
0.5100000000000002,0.6005665722379604,0.6309523809523809,0.6153846153846154
0.5200000000000002,0.6176470588235294,0.625,0.621301775147929
0.5300000000000002,0.6280487804878049,0.6130952380952381,0.6204819277108434
0.5400000000000003,0.6412698412698413,0.6011904761904762,0.620583717357911
0.5500000000000003,0.6466666666666666,0.5773809523809523,0.610062893081761
0.5600000000000003,0.6539792387543253,0.5625,0.6048
0.5700000000000003,0.6596491228070176,0.5595238095238095,0.605475040257649
0.5800000000000003,0.6570397111913358,0.5416666666666666,0.5938009787928222
0.5900000000000003,0.6704980842911877,0.5208333333333334,0.5862646566164154
0.6000000000000003,0.6812749003984063,0.5089285714285714,0.5826235093696763
0.6100000000000003,0.7012448132780082,0.5029761904761905,0.58578856152513
0.6200000000000003,0.7142857142857143,0.49107142857142855,0.582010582010582
0.6300000000000003,0.7207207207207207,0.47619047619047616,0.5734767025089605
0.6400000000000003,0.7380952380952381,0.46130952380952384,0.5677655677655677
0.6500000000000004,0.7524752475247525,0.4523809523809524,0.5650557620817844
0.6600000000000004,0.7643979057591623,0.43452380952380953,0.5540796963946869
0.6700000000000004,0.7663043478260869,0.41964285714285715,0.5423076923076923
0.6800000000000004,0.7696629213483146,0.40773809523809523,0.5330739299610895
0.6900000000000004,0.7810650887573964,0.39285714285714285,0.5227722772277228
0.7000000000000004,0.7950310559006211,0.38095238095238093,0.5150905432595574
0.7100000000000004,0.8013245033112583,0.3601190476190476,0.49691991786447637
0.7200000000000004,0.8040540540540541,0.3541666666666667,0.49173553719008267
0.7300000000000004,0.8,0.34523809523809523,0.48232848232848236
0.7400000000000004,0.7867647058823529,0.31845238095238093,0.4533898305084746
0.7500000000000004,0.7835820895522388,0.3125,0.44680851063829785
